Calculated optimized lattice constant using scipy fmin approach:

Structure              a              c                  a/c
   Sc2Sn2    4.6403513923   4.28066589632  0.922487444253
   Al2Re2   3.85189251133    3.9571936196   1.02733749915
    W2Os2   3.96055171333   3.89591066541  0.983678776949
    Ga2W2     3.871104083   4.18027047515   1.07986517167
    V2Cd2   3.91392496069   4.46841604871   1.14167136406
   Fe2Nb2   4.35297049427   3.07524112941   0.70646955532
   Co2Tl2   4.59514132147   3.29100835158  0.716193065968
    Nb2W2   3.82379482942   4.76640309713   1.24651120412
    Y2Ir2   4.86548528019   3.43914358914  0.706844927297
   Ga2Ag2   4.18249461784   4.25826073182   1.01811505355
    W2Re2   3.99794181577   3.91937672362   0.98034861542
   Sc2Ta2   4.06235543985   4.93627180725   1.21512553009
   Ni2Pb2   4.74143678682   3.42841849261  0.723075862182
    V2Cu2   3.52237826581   4.11356089393   1.16783621278
   Al2Zr2   4.30379524392   4.15743833477  0.965993524121
   Cu2Cd2   4.49697123148   3.34228195583  0.743229561362
   Cu2Hg2   4.54154952028   3.42901650469  0.755032283448
   Al2Ir2   4.26258900569   3.02714359289  0.710165486011
   Cu2Mo2    3.6642134233   4.17190656556   1.13855446821
   Ir2Tl2   4.50106864375   3.71491128162  0.825339841635
   Mo2Hg2   4.01671328387   4.54044206519   1.13038739494
   In2Pb2   5.14665893637   4.70771571904   0.91471297734
   Zr2Rh2    4.6188846427   3.38175020158  0.732157320041
   Ni2Cu2    3.5396483741    3.7022438062   1.04593547576
   Ti2Cd2   4.19838675649   4.32367108588   1.02984106436
    W2Tl2   4.12758578063   4.68118474689     1.134121735
   Cr2Zr2    4.5820401297   3.24141932854  0.707418363172
   Ga2La2    5.4847768053   3.71157689903  0.676705184328
   Ni2Cd2   4.23998838452    3.4880635989  0.822658762848
   Ti2Au2    4.1459213808   4.01006136138  0.967230440006
   Nb2Ir2    4.0680575485   3.89711628372   0.95797963457
   Ti2Nb2   3.90417934396   4.68479545801   1.19994371295
   Rh2Cd2   4.60671542097   3.25743828739  0.707106471687
   Al2In2   4.64711065587   4.18990267096  0.901614568973
   In2Pt2   4.72331473562   3.33046771062  0.705112383366
    Sn2W2   4.71945673911   3.33715864124  0.707106522152
   Pt2Au2   4.05596935218   4.15190979056   1.02365413297
   Ti2Fe2   4.18102197161   2.96155016417  0.708331643383
   Pd2Sn2   4.78962080702   3.42799923747  0.715714119257
   Ni2Ir2   3.78453305628   3.59583532211  0.950139757966
   Sc2Ga2   4.51155325646   3.71123928357  0.822607885268
   Hf2Ta2   4.18251183968   4.63754408121   1.10879401158
   Rh2Pd2   3.92853165071   3.90008095345  0.992757931006
    Ga2Y2   5.05910350938   3.58544731594  0.708711990038
   Rh2Hg2   4.65364433782   3.29479608555  0.708003415468
   Zr2Nb2   4.08092957705   4.93844595642    1.2101277082
   Cr2Au2   3.81893245652   4.11380326676   1.07721288962
   Co2Fe2    4.0517497918   2.84615117148  0.702449884058
    Ti2W2    3.7931717558   4.59182225674   1.21054952224
    V2Mn2   4.06759024989   2.87641486777  0.707154529109
    Cr2W2   4.28267681897   3.03171973305  0.707902991797
    V2Pd2   3.82034201717   3.94604035239    1.0329023775
   Ni2Ru2   3.70258819132   3.70222522729  0.999901970186
   Co2Au2   3.95106250497   3.82562520903  0.968252262326
   Fe2Re2   3.74115456363   3.62231293046  0.968233968646
   Co2Zn2   3.64800912562   3.72884408359   1.02215865015
    In2W2   4.04497544725    4.5570991113   1.12660736035
    V2La2    5.1199526887   3.61611265328  0.706278528952
   Ag2Pb2   5.10642290856   3.92661318963  0.768955736715
   Fe2Ir2   3.80346527442   3.65951522824  0.962152922192
   Zr2Sn2   4.59478425322   4.29121694378  0.933932195135
   In2Re2   4.06807981566    4.3195245278    1.0618091885
   Sc2Pb2   4.93627128694   4.22133162973   0.85516605234
    V2Os2   4.27081855838   3.02455041914  0.708189865197
    Y2Ta2   4.27679406096   5.04966581496   1.18071287581
   Nb2Au2    4.1135581667   4.22650110036    1.0274562627
   Mn2Tc2   3.76042429597   3.70226125293   0.98453285096
   Fe2Ta2   4.34556784153   3.06271241957  0.704789921883
   Mn2Os2   3.74861989216   3.67580859885  0.980576506713
   Ni2Zn2   3.85731386311   3.29687682963  0.854707951344
   Rh2Pb2    4.7989319338    3.4287595843  0.714483895917
    Cu2Y2   4.93850330606   3.49222324404  0.707142028184
   Ag2Tl2   5.08508498728   3.95253757608  0.777280534341
   Mo2Pb2   4.93627410138   3.35175573835  0.679005190861
   Ag2Sn2   4.68082450014   4.25629655792   0.90930487947
   Zn2Ag2    4.4687814176    3.3480104157   0.74919986073
   Sc2Pt2   4.66466909129   3.33306148898  0.714533319245
   Rh2Ag2   3.89421835518   4.32160894237   1.10975003151
   Ga2Nb2   4.02888194717   4.11682933813   1.02182923007
   Tc2Pt2   3.84267813226   4.05626620848   1.05558312949
   Ni2Ta2   3.91239324296   3.77935461958  0.965995590137
   Sc2Tl2   4.79040363925   4.15710002726   0.86779744262
   Ga2Mo2     3.877073518     4.116721765   1.06181163341
   Ti2Mo2   3.75128132917    4.6395597864   1.23679334587
   Sn2Au2   4.99400792048   3.73291538486  0.747478867535
   Al2Sc2   4.38780130525   4.00016710948  0.911656392621
   Tc2Hg2   4.01237300744   4.42393303718   1.10257272417
   Mn2Pd2   4.33000140102    3.3456304389  0.772662668911
   Al2Mn2   4.11357592951   2.92700773458  0.711548245307
   Pd2Os2   3.83337342566   4.04832615961   1.05607403978
   Mo2Sn2   4.71859896193   3.33107388469  0.705945538404
   Cu2Ru2   3.63493543361   4.02909194031   1.10843562806
   Zr2Hf2   4.50223674121   4.50229943876   1.00001392587
   Sc2Ti2   4.30660503421   4.39789395141   1.02119742035
    Zn2W2   3.78289487396    4.2517533919   1.12394172547
   Mn2Au2   4.58130849867   3.29085153254   0.71832131224
   Au2Hg2   4.53406941977   4.15323317619  0.916005643425
   Ga2Cd2   4.45505264442   4.54471721827    1.0201264903
   Cu2Ga2   3.87684408414   3.82248970809  0.985979736386
   Pd2Ta2   4.00068226783   4.13749433934   1.03419718497
   Ga2Tl2   5.21049914874   3.91505504696  0.751378118526
   Ni2Nb2   3.88737464072   3.82053516706  0.982806011811
   Ga2Hf2   4.24251772777   4.11355798652  0.969603016528
   Rh2Tl2   4.66695036775   3.45645742056  0.740624422416
   Ni2Pt2   3.86728199292   3.64390510222  0.942239306286
   Ni2Rh2   3.77886929405   3.57258538106  0.945411207179
   Al2Nb2   4.00984582003    4.1842393196   1.04349132296
   Sn2Tl2   4.93627965949   5.16906084234   1.04715721128
   Co2Al2     4.033569573    2.8535676789  0.707454681829
   Ag2Re2   3.75351401466   4.62066948481     1.231024972
   Pd2Hf2    4.6254741586   3.45836919816  0.747678849687
   Nb2Ru2   4.33907734694    3.4118881266  0.786316503209
   Rh2Hf2   4.57828037876   3.34501707452  0.730627396705
   Rh2Os2   3.81709802036   3.91787289723   1.02640091408
   Ru2Cd2   4.01532333237   4.26645492902    1.0625433062
   Ni2Hf2   4.51902266185   3.15367705955    0.6978670601
    Ta2W2   3.85293497557   4.70044230686   1.21996408885
   In2Au2   5.12034856882   3.46355327155  0.676429197153
   Pt2Tl2   4.97797882339   3.30031484131  0.662982900972
   Pt2Pb2   5.00397378125   3.55101648157   0.70963930604
   Tc2Sn2   4.61418450094   3.29095495349  0.713225696289
   Co2Ir2   3.76381205737   3.61665052569  0.960900935159
   Sc2Cd2    5.0358872172   3.55412697719  0.705759844075
    W2Ir2   3.93239019987   3.93545353031   1.00077899961
   Nb2Pd2   3.99647714133   4.15228903947   1.03898731123
   Tc2Ir2   3.85068318141   3.90538614281   1.01420604054
