Calculated optimized lattice constant using variable cell approach:

Structure              a              c                  a/c
   Cd2Hg2     5.163643657     4.141260172  0.802003477987
   Mn2Re2     3.786344669     3.664686660  0.967869272442
   Cu2La2     5.203665580     3.687353852  0.708606999299
   Mo2Au2     3.895462514     4.399094292   1.12928677306
    V2Ga2     3.758508692     3.983385563   1.05983140906
   Re2Ir2     3.856481299     3.937388477   1.02097953334
   La2Au2     5.391616082     3.809348659   0.70653188229
   Os2Bi2     4.841882111     3.432213520  0.708859373549
   La2Pd2     5.273583928     3.688516479   0.69943259259
   Cr2Tl2     4.635657710     3.286678131   0.70899931285
    V2Ni2     3.583932311     3.740496490   1.04368502678
   Zn2Nb2     4.030450046     4.007585506  0.994327050394
   La2Hf2     4.798470441     4.935578461   1.02857327594
    La2W2     4.136872241     5.346447059   1.29238872934
   Cr2Mo2     3.610508522     4.359438355   1.20743056787
   Pd2Pt2     3.971584590     4.005506950   1.00854126589
   Cr2In2     4.042111273     4.098486562   1.01394699087
   Ti2Rh2     4.216611734     3.401443571  0.806676968518
   Hf2Ir2     4.400821513     3.619595197  0.822481708542
   Ru2Au2     3.929368227     4.158073222   1.05820401189
   Co2Ag2     3.824107682     4.087470632   1.06886912501
   Ru2Pd2     3.850186099     3.991185325    1.0366214054
   Cr2Ru2     3.782902810     3.631993097  0.960107430569
   Al2Os2     4.269217089     3.018092788  0.706942918358
    Y2Os2     4.841917229     3.424508225  0.707262859532
   Ru2Ta2     4.330237461     3.420514638  0.789913871654
   Co2Hg2     4.488664582     3.230755140  0.719758645579
   Sc2Re2     3.887013723     4.596508490   1.18252952461
   Ti2Cr2     4.298732565     3.041289290  0.707485111952
    Hf2Y2     4.670280564     4.825811838   1.03330234059
   Mn2Ni2     4.136006908     2.964886251  0.716847509434
   Co2Ti2     3.968487471     3.203763059  0.807300787116
   Co2Pd2     3.817350809     3.755725964  0.983856646118
   Cr2Re2     4.223504409     2.988783121  0.707654788907
    V2Ir2     3.897298318     3.673593977  0.942600149451
   Mn2Sn2     4.376645028     4.053871798  0.926250991813
   Ru2Sn2     4.582648032     3.255987997  0.710503615871
   Fe2Rh2     4.274855934     3.024442013  0.707495658262
   Hg2Bi2     4.771888786     5.341380573   1.11934305524
   Ti2Pb2     4.581931790     4.131061269   0.90159815954
   Re2Pb2     4.777371408     3.387474188  0.709066534439
   Ga2Os2     4.102240006     3.249442529  0.792114192306
   Ag2Au2     4.179348996     4.229533552   1.01200774476
   Mo2In2     4.080967226     4.453010432   1.09116544814
   Cu2Ta2     3.965141396     3.870423336  0.976112312137
   Al2Au2     4.415889239     3.485185455  0.789237516245
    Fe2W2     3.840298872     3.629212419  0.945033847616
   Tc2Pb2     4.768993973     3.379655282  0.708672584015
    V2Rh2     3.882549566     3.667873873  0.944707546072
    Mo2Y2     4.207202921     4.853207056   1.15354717781
   Cd2Hf2     4.379638704     4.423237103   1.00995479352
   Tc2Ta2     4.502335992     3.187156326  0.707889489292
    V2Fe2     3.970882668     3.001928373   0.75598516098
   Mn2Ir2     3.782148021     3.665942494  0.969275256718
   Sc2Ag2     4.884800923     3.459055556   0.70812620832
   Ta2Pt2     4.001038930     4.123967034   1.03072404597
   Sc2Mn2     4.469636292     3.169335055  0.709081197652
   Os2Pt2     3.889213922     3.967305085   1.02007890658
    V2Re2     4.292196424     3.036089523  0.707351021035
    Sc2V2     3.974515831     4.536838440   1.14148204031
   La2In2     5.273811926     4.484134035  0.850264305576
   Nb2Mo2     3.795421338     4.798825531   1.26437228008
    Sn2Y2     4.924259232     4.410762703  0.895721060812
   Sc2Hf2     4.473150595     4.578098892   1.02346182959
   Sc2Au2     4.834062994     3.423397882  0.708182306736
   Sc2Fe2     4.418628373     3.126113373  0.707485017772
   Hf2Pt2     4.702959381     3.341790330  0.710571803682
   Cr2Ni2     3.457113206     3.756504559   1.08660154735
   Ti2Os2     4.376694078     3.096447012  0.707485366081
    Ti2V2     3.705531935     4.467887212   1.20573436969
    Sc2Y2     4.908601807     4.697282939    0.9569492747
   Ga2Au2     4.694995908     3.432437898  0.731084321533
   Cu2Rh2     3.802179547     3.734282757  0.982142666026
   Al2Tl2     4.708388889     4.525033162  0.961057650223
   Cd2Pt2     4.271440711     3.911619313  0.915761116133
     V2W2     3.684652631     4.491513376   1.21897878194
   Zn2Bi2     4.961719697     4.091680136  0.824649594469
   Mo2Ag2     3.788580406     4.645578728   1.22620565757
   Ta2Pb2     4.883958833     3.591510575  0.735368723981
   Mo2Re2     3.956618245     3.955805007  0.999794461343
    V2Nb2     3.746862520     4.642100823   1.23893011772
   La2Tc2     5.070029026     3.587146765  0.707519966179
    Ni2W2     3.779386006     3.779235076  0.999960064942
    Y2Au2     5.121114167     3.614559888   0.70581513517
   Cr2Cu2     3.411096970     4.075852386   1.19488024581
   Zn2Pt2     4.094589990     3.528626636  0.861777771307
   Tc2Cd2     3.899722517     4.553313974   1.16759947769
   Ga2In2     4.678196167     4.407484257  0.942133270958
   Ag2Hf2     4.287643738     4.296839552   1.00214472437
   Zr2Hg2     4.504726601     4.321328307  0.959287586075
   Al2Mo2     3.846950719     4.158967124   1.08110746089
   Mn2Cd2     4.267463301     4.017485677  0.941422431461
   Cr2Ta2     4.469081977     3.085478980  0.690405545452
   Sn2Os2     4.599008096     3.269813336  0.710982296127
    La2Y2     5.280340767     5.056632660  0.957633774623
   Ga2Ru2     4.290612826     3.038729530  0.708227391571
    V2Ta2     4.320390913     3.268053743  0.756425473715
   Cu2Os2     3.681345386     3.988722197   1.08349578178
   Pd2Au2     4.121923590     4.027427466   0.97707475116
   Ag2Bi2     4.844557989     4.370653237  0.902177917351
   Zn2Cd2     4.324211897     4.218689975  0.975597421099
   La2Zr2     4.801540806     5.041272258   1.04992802554
   Ni2Tc2     3.641781449     3.837863831   1.05384243529
   In2Hg2     5.202539562     4.252372577  0.817364774707
   Ta2Os2     4.328559888     3.470583592  0.801787125926
   Fe2La2     5.101358304     3.615548600  0.708742335775
   Ti2Re2     4.408535162     3.117124104  0.707065723524
   Mn2Bi2     4.868723049     3.886668124  0.798293122218
   Al2Hf2     4.245087660     4.148016956  0.977133404119
   Ir2Pt2     3.942465686     3.911470898  0.992138222506
   Ga2Ir2     4.319690450     3.075100827  0.711879904959
   Cr2Tc2     4.207007615     2.977427844  0.707730557317
   Zr2Os2     4.646028067     3.285561539  0.707176429333
   Ir2Au2     4.016819041     4.053809141   1.00920880419
   Nb2Sn2     4.726479457     3.593396740  0.760269196702
   Sc2Ir2     4.569938791     3.231426147  0.707104907699
   Ni2Sn2     4.352457888     3.418525164   0.78542406428
    Al2W2     3.850372383     4.182240868   1.08619126983
   Os2Pb2     4.764831486     3.370893249  0.707452773284
   Ru2Ag2     3.772403703     4.521030985   1.19844834777
   Mo2Hf2     4.557859039     3.381508285  0.741907166515
    V2Au2     3.915143982     4.109814004   1.04972231491
   Re2Bi2     4.816234937     3.403121642  0.706593778442
   Zn2Re2     3.723527553     4.244512513   1.13991704173
   Zn2La2     5.349089685     3.783011190  0.707225231353
   Rh2Pt2     3.926157012     3.917915817  0.997900951242
   Fe2Ru2     3.738446426     3.684784702   0.98564598288
   La2Pt2     5.213848375     3.689154443   0.70756841735
   Co2Sn2     4.445815402     3.200662878  0.719927074921
   Zr2Ag2     4.289199476     4.405400842   1.02709162086
   Ir2Bi2     4.770426330     3.679797561  0.771377085913
   In2Ta2     4.169811797     4.548141285   1.09073059083
   Ru2In2     4.586314756     3.246284544  0.707819832852
   Cu2Tc2     3.597501618     4.143103677   1.15166137974
   Nb2Ta2     3.924421999     4.823915038   1.22920395391
   Sc2Sn2     4.646769992     4.266797831  0.918228756393
   Al2Re2     3.852074123     3.957918719   1.02747729992
    W2Os2     3.959866156     3.898073901  0.984395367781
    Ga2W2     3.870071832     4.182372324   1.08069630373
    V2Cd2     3.916643840     4.443011119   1.13439242895
